Date,BAR_KWH_Main_Electric (kWh),BAR_PWR_Main_Electric (kW)
2015-12-01 00:00,20.73600000049919,82.944
2015-12-01 00:15,39.743999999947846,76.032
2015-12-01 00:30,60.480000000447035,82.944
2015-12-01 00:45,79.48800000082701,76.032
2015-12-01 01:00,98.49600000027567,76.032
2015-12-01 01:15,117.50400000065565,76.032
2015-12-01 01:30,136.5120000001043,76.032
2015-12-01 01:45,157.2480000006035,82.944
2015-12-01 02:00,176.25600000005215,76.032
2015-12-01 02:15,195.26400000043213,76.032
2015-12-01 02:30,214.2720000008121,76.032
2015-12-01 02:45,233.28000000026077,76.032
2015-12-01 03:00,252.28800000064075,76.032
2015-12-01 03:15,273.0240000002086,82.944
2015-12-01 03:30,292.0320000005886,76.032
2015-12-01 03:45,311.04000000003725,76.032
2015-12-01 04:00,331.77600000053644,82.944
2015-12-01 04:15,352.5120000001043,82.944
2015-12-01 04:30,371.5200000004843,76.032
2015-12-01 04:45,392.25600000005215,82.944
2015-12-01 05:00,412.99200000055134,82.944
2015-12-01 05:15,433.7280000001192,82.944
2015-12-01 05:30,454.4640000006184,82.944
2015-12-01 05:45,475.20000000018626,82.944
2015-12-01 06:00,495.93600000068545,82.944
2015-12-01 06:15,516.6720000002533,82.944
2015-12-01 06:30,537.4080000007525,82.944
2015-12-01 06:45,558.1440000003204,82.944
2015-12-01 07:00,601.3440000005066,172.8
2015-12-01 07:15,646.2720000008121,179.712
2015-12-01 07:30,694.6560000004247,193.536
2015-12-01 07:45,743.0400000000373,193.536
2015-12-01 08:00,794.8800000008196,207.36
2015-12-01 08:15,846.7200000006706,207.36
2015-12-01 08:30,898.5600000005215,207.36
2015-12-01 08:45,953.856000000611,221.184
2015-12-01 09:00,1010.8800000008196,228.096
2015-12-01 09:15,1067.9040000000969,228.096
2015-12-01 09:30,1128.384000000544,241.92
2015-12-01 09:45,1188.8640000000596,241.92
2015-12-01 10:00,1249.3440000005066,241.92
2015-12-01 10:15,1309.8240000000224,241.92
2015-12-01 10:30,1370.3040000004694,241.92
2015-12-01 10:45,1430.783999999985,241.92
2015-12-01 11:00,1491.2640000004321,241.92
2015-12-01 11:15,1551.7439999999478,241.92
2015-12-01 11:30,1613.952000000514,248.832
2015-12-01 11:45,1674.4320000000298,241.92
2015-12-01 12:00,1736.640000000596,248.832
2015-12-01 12:15,1798.848000000231,248.832
2015-12-01 12:30,1861.0560000007972,248.832
2015-12-01 12:45,1923.2640000004321,248.832
2015-12-01 13:00,1987.2000000001863,255.744
2015-12-01 13:15,2049.4080000007525,248.832
2015-12-01 13:30,2111.6160000003874,248.832
2015-12-01 13:45,2173.8240000000224,248.832
2015-12-01 14:00,2237.760000000708,255.744
2015-12-01 14:15,2299.9680000003427,248.832
2015-12-01 14:30,2362.1759999999776,248.832
2015-12-01 14:45,2424.384000000544,248.832
2015-12-01 15:00,2486.592000000179,248.832
2015-12-01 15:15,2548.800000000745,248.832
2015-12-01 15:30,2611.00800000038,248.832
2015-12-01 15:45,2673.216000000015,248.832
2015-12-01 16:00,2735.424000000581,248.832
2015-12-01 16:15,2797.632000000216,248.832
2015-12-01 16:30,2858.112000000663,241.92
2015-12-01 16:45,2919.501473684795,245.558
2015-12-01 17:00,2977.3440000005066,231.36721052631574
2015-12-01 17:15,3034.3680000007153,228.096
2015-12-01 17:30,3087.9360000006855,214.272
2015-12-01 17:45,3141.5040000006557,214.272
2015-12-01 18:00,3196.800000000745,221.184
2015-12-01 18:15,3252.0960000008345,221.184
2015-12-01 18:30,3303.9360000006855,207.36
2015-12-01 18:45,3357.5040000006557,214.272
2015-12-01 19:00,3411.072000000626,214.272
2015-12-01 19:15,3464.640000000596,214.272
2015-12-01 19:30,3516.480000000447,207.36
2015-12-01 19:45,3568.320000000298,207.36
2015-12-01 20:00,3620.160000000149,207.36
2015-12-01 20:15,3670.272000000812,200.448
2015-12-01 20:30,3722.112000000663,202.485
2015-12-01 20:45,3772.224000000395,200.448
2015-12-01 21:00,3822.3360000001267,200.448
2015-12-01 21:15,3872.4480000007898,200.448
2015-12-01 21:30,3922.5600000005215,200.448
2015-12-01 21:45,3970.944000000134,193.536
2015-12-01 22:00,3996.8640000000596,103.68
2015-12-01 22:15,4019.328000000678,89.856
2015-12-01 22:30,4040.064000000246,82.944
2015-12-01 22:45,4062.5280000008643,89.856
2015-12-01 23:00,4083.264000000432,82.944
2015-12-01 23:15,4102.272000000812,76.032
2015-12-01 23:30,4123.00800000038,82.944
2015-12-01 23:45,4143.743999999948,82.944
2015-12-02 00:00,4162.752000000328,76.032
2015-12-02 00:15,4183.488000000827,82.944
2015-12-02 00:30,4202.496000000276,76.032
2015-12-02 00:45,4221.504000000656,76.032
2015-12-02 01:00,4242.2400000002235,82.944
2015-12-02 01:15,4261.2480000006035,76.032
2015-12-02 01:30,4281.984000000171,82.944
2015-12-02 01:45,4300.992000000551,76.032
2015-12-02 02:00,4320.0,76.032
2015-12-02 02:15,4339.00800000038,76.032
2015-12-02 02:30,4358.01600000076,76.032
2015-12-02 02:45,4378.752000000328,82.944
2015-12-02 03:00,4397.760000000708,76.032
2015-12-02 03:15,4416.7680000001565,76.032
2015-12-02 03:30,4437.504000000656,82.944
2015-12-02 03:45,4456.512000000104,76.032
2015-12-02 04:00,4475.520000000484,76.032
2015-12-02 04:15,4494.528000000864,94.255
2015-12-02 04:30,4513.536000000313,76.032
2015-12-02 04:45,4534.272000000812,82.944
2015-12-02 05:00,4555.00800000038,82.944
2015-12-02 05:15,4575.743999999948,82.944
2015-12-02 05:30,4594.752000000328,76.032
2015-12-02 05:45,4617.216000000015,89.856
2015-12-02 06:00,4636.224000000395,76.032
2015-12-02 06:15,4656.959999999963,82.944
2015-12-02 06:30,4679.424000000581,89.856
2015-12-02 06:45,4698.43200000003,76.032
2015-12-02 07:00,4745.0880000004545,186.624
2015-12-02 07:15,4791.743999999948,186.624
2015-12-02 07:30,4840.128000000492,193.536
2015-12-02 07:45,4888.512000000104,193.536
2015-12-02 08:00,4940.351999999955,207.36
2015-12-02 08:15,4992.192000000738,207.36
2015-12-02 08:30,5044.032000000589,207.36
2015-12-02 08:45,5097.600000000559,214.272
2015-12-02 09:00,5156.351999999955,235.008
2015-12-02 09:15,5213.376000000164,228.096
2015-12-02 09:30,5273.856000000611,241.92
2015-12-02 09:45,5332.608000000007,235.008
2015-12-02 10:00,5393.0880000004545,241.92
2015-12-02 10:15,5455.296000000089,248.832
2015-12-02 10:30,5517.504000000656,248.832
2015-12-02 10:45,5579.712000000291,248.832
2015-12-02 11:00,5641.920000000857,248.832
2015-12-02 11:15,5704.128000000492,248.832
2015-12-02 11:30,5768.064000000246,255.744
2015-12-02 11:45,5830.272000000812,248.832
2015-12-02 12:00,5894.208000000566,255.744
2015-12-02 12:15,5959.87200000044,262.656
2015-12-02 12:30,6022.0800000000745,248.832
2015-12-02 12:45,6087.743999999948,262.656
2015-12-02 13:00,6151.680000000633,255.744
2015-12-02 13:15,6215.616000000387,255.744
2015-12-02 13:30,6279.552000000142,255.744
2015-12-02 13:45,6343.488000000827,255.744
2015-12-02 14:00,6405.696000000462,248.832
2015-12-02 14:15,6467.904000000097,248.832
2015-12-02 14:30,6530.112000000663,248.832
2015-12-02 14:45,6592.320000000298,248.832
2015-12-02 15:00,6654.528000000864,248.832
2015-12-02 15:15,6716.736000000499,248.832
2015-12-02 15:30,6778.944000000134,248.832
2015-12-02 15:45,6841.1520000007,248.832
2015-12-02 16:00,6905.0880000004545,255.744
2015-12-02 16:15,6967.296000000089,248.832
2015-12-02 16:30,7029.504000000656,248.832
2015-12-02 16:45,7089.984000000171,241.92
2015-12-02 17:00,7150.464000000618,241.92
2015-12-02 17:15,7209.216000000015,235.008
2015-12-02 17:30,7266.2400000002235,228.096
2015-12-02 17:45,7323.264000000432,228.096
2015-12-02 18:00,7380.288000000641,228.096
2015-12-02 18:15,7435.58400000073,221.184
2015-12-02 18:30,7489.1520000007,214.272
2015-12-02 18:45,7542.720000000671,214.272
2015-12-02 19:00,7596.288000000641,214.272
2015-12-02 19:15,7648.128000000492,207.36
2015-12-02 19:30,7699.968000000343,207.36
2015-12-02 19:45,7750.0800000000745,200.448
2015-12-02 20:00,7800.192000000738,200.448
2015-12-02 20:15,7852.032000000589,207.36
2015-12-02 20:30,7902.14400000032,200.448
2015-12-02 20:45,7952.256000000052,200.448
2015-12-02 21:00,8004.0960000008345,207.36
2015-12-02 21:15,8052.480000000447,193.536
2015-12-02 21:30,8102.592000000179,200.448
2015-12-02 21:45,8150.976000000723,193.536
2015-12-02 22:00,8176.896000000648,103.68
2015-12-02 22:15,8199.360000000335,89.856
2015-12-02 22:30,8221.824000000022,89.856
2015-12-02 22:45,8244.28800000064,89.856
2015-12-02 23:00,8265.024000000209,82.944
2015-12-02 23:15,8287.488000000827,89.856
2015-12-02 23:30,8306.496000000276,76.032
2015-12-02 23:45,8327.232000000775,82.944
2015-12-03 00:00,8347.968000000343,82.944
2015-12-03 00:15,8368.704000000842,82.944
2015-12-03 00:30,8389.44000000041,82.944
2015-12-03 00:45,8410.175999999978,82.944
2015-12-03 01:00,8430.912000000477,82.944
2015-12-03 01:15,8449.920000000857,76.032
2015-12-03 01:30,8470.656000000425,82.944
2015-12-03 01:45,8489.664000000805,76.032
2015-12-03 02:00,8510.400000000373,82.944
2015-12-03 02:15,8529.408000000753,76.032
2015-12-03 02:30,8550.14400000032,82.944
2015-12-03 02:45,8569.1520000007,76.032
2015-12-03 03:00,8588.160000000149,76.032
2015-12-03 03:15,8608.896000000648,82.944
2015-12-03 03:30,8629.632000000216,414.72
2015-12-03 03:45,8648.640000000596,76.032
2015-12-03 04:00,8667.648000000045,76.032
2015-12-03 04:15,8688.384000000544,82.944
2015-12-03 04:30,8707.391999999993,76.032
2015-12-03 04:45,8728.128000000492,82.944
2015-12-03 05:00,8748.86400000006,82.944
2015-12-03 05:15,8771.328000000678,89.856
2015-12-03 05:30,8792.064000000246,82.944
2015-12-03 05:45,8812.800000000745,82.944
2015-12-03 06:00,8833.536000000313,82.944
2015-12-03 06:15,8854.272000000812,82.944
2015-12-03 06:30,8875.00800000038,82.944
2015-12-03 06:45,8895.743999999948,82.944
2015-12-03 07:00,8940.672000000253,179.712
2015-12-03 07:15,8987.328000000678,186.624
2015-12-03 07:30,9035.71200000029,193.536
2015-12-03 07:45,9085.824000000022,200.448
2015-12-03 08:00,9137.664000000805,207.36
2015-12-03 08:15,9192.959999999963,221.184
2015-12-03 08:30,9246.528000000864,214.272
2015-12-03 08:45,9303.552000000142,228.096
2015-12-03 09:00,9361.530947368592,231.916
2015-12-03 09:15,9419.328000000678,231.18771052631578
2015-12-03 09:30,9479.808000000194,241.92
2015-12-03 09:45,9540.28800000064,241.92
2015-12-03 10:00,9602.496000000276,248.832
2015-12-03 10:15,9664.704000000842,248.832
2015-12-03 10:30,9728.640000000596,255.744
2015-12-03 10:45,9792.57600000035,255.744
2015-12-03 11:00,9854.783999999985,248.832
2015-12-03 11:15,9918.72000000067,255.744
2015-12-03 11:30,9982.656000000425,255.744
2015-12-03 11:45,10048.320000000298,262.656
2015-12-03 12:00,10113.984000000171,262.656
2015-12-03 12:15,10181.376000000164,269.568
2015-12-03 12:30,10247.040000000037,262.656
2015-12-03 12:45,10314.43200000003,269.568
2015-12-03 13:00,10381.824000000022,269.568
2015-12-03 13:15,10447.488000000827,262.656
2015-12-03 13:30,10511.424000000581,255.744
