Date,SOD_PWR_Building_Total (kW)
2016-12-01 00:00,373.88199999999995
2016-12-01 00:15,370.738
2016-12-01 00:30,360.045
2016-12-01 00:45,355.23100000000005
2016-12-01 01:00,354.725
2016-12-01 01:15,361.294
2016-12-01 01:30,365.743
2016-12-01 01:45,359.145
2016-12-01 02:00,328.459
2016-12-01 02:15,333.36
2016-12-01 02:30,340.818
2016-12-01 02:45,347.58500000000004
2016-12-01 03:00,335.87
2016-12-01 03:15,337.709
2016-12-01 03:30,331.097
2016-12-01 03:45,336.803
2016-12-01 04:00,325.251
2016-12-01 04:15,332.425
2016-12-01 04:30,338.81
2016-12-01 04:45,332.903
2016-12-01 05:00,328.56
2016-12-01 05:15,327.44
2016-12-01 05:30,333.316
2016-12-01 05:45,325.91299999999995
2016-12-01 06:00,335.947
2016-12-01 06:15,353.91700000000003
2016-12-01 06:30,358.52
2016-12-01 06:45,349.782
2016-12-01 07:00,361.336
2016-12-01 07:15,366.806
2016-12-01 07:30,364.959
2016-12-01 07:45,372.26399999999995
2016-12-01 08:00,379.20199999999994
2016-12-01 08:15,375.492
2016-12-01 08:30,382.368
2016-12-01 08:45,391.091
2016-12-01 09:00,391.79499999999996
2016-12-01 09:15,396.77
2016-12-01 09:30,400.238
2016-12-01 09:45,407.318
2016-12-01 10:00,409.563
2016-12-01 10:15,413.309
2016-12-01 10:30,422.595
2016-12-01 10:45,426.77400000000006
2016-12-01 11:00,429.02400000000006
2016-12-01 11:15,423.56800000000004
2016-12-01 11:30,428.70300000000003
2016-12-01 11:45,427.471
2016-12-01 12:00,428.845
2016-12-01 12:15,438.974
2016-12-01 12:30,433.18399999999997
2016-12-01 12:45,448.04599999999994
2016-12-01 13:00,446.348
2016-12-01 13:15,479.956
2016-12-01 13:30,529.977
2016-12-01 13:45,506.27299999999997
2016-12-01 14:00,490.96399999999994
2016-12-01 14:15,437.362
2016-12-01 14:30,425.618
2016-12-01 14:45,426.78299999999996
2016-12-01 15:00,438.549
2016-12-01 15:15,438.78200000000004
2016-12-01 15:30,446.499
