Date,SPR_PWR_Electric_Meter (kW)
2017-12-01 00:00,79.387
2017-12-01 00:15,70.345
2017-12-01 00:30,76.906
2017-12-01 00:45,71.195
2017-12-01 01:00,76.162
2017-12-01 01:15,68.867
2017-12-01 01:30,73.921
2017-12-01 01:45,73.226
2017-12-01 02:00,78.393
2017-12-01 02:15,71.729
2017-12-01 02:30,72.935
2017-12-01 02:45,70.814
2017-12-01 03:00,70.431
2017-12-01 03:15,70.243
2017-12-01 03:30,72.02
2017-12-01 03:45,74.871
2017-12-01 04:00,69.857
2017-12-01 04:15,74.125
2017-12-01 04:30,70.323
2017-12-01 04:45,74.456
2017-12-01 05:00,71.179
2017-12-01 05:15,72.584
2017-12-01 05:30,98.582
2017-12-01 05:45,72.468
2017-12-01 06:00,77.965
2017-12-01 06:15,73.032
2017-12-01 06:30,76.868
2017-12-01 06:45,75.879
2017-12-01 07:00,84.157
2017-12-01 07:15,86.26
2017-12-01 07:30,88.323
2017-12-01 07:45,99.679
2017-12-01 08:00,103.556
2017-12-01 08:15,100.107
2017-12-01 08:30,114.856
2017-12-01 08:45,114.581
2017-12-01 09:00,117.578
2017-12-01 09:15,126.168
2017-12-01 09:30,120.743
2017-12-01 09:45,122.928
2017-12-01 10:00,116.69
2017-12-01 10:15,119.7
2017-12-01 10:30,118.643
2017-12-01 10:45,119.578
2017-12-01 11:00,126.109
2017-12-01 11:15,120.943
2017-12-01 11:30,126.759
2017-12-01 11:45,117.04
2017-12-01 12:00,125.006
2017-12-01 12:15,111.753
2017-12-01 12:30,119.487
2017-12-01 12:45,115.634
2017-12-01 13:00,121.306
2017-12-01 13:15,123.178
2017-12-01 13:30,119.231
2017-12-01 13:45,137.481
2017-12-01 14:00,122.712
2017-12-01 14:15,117.965
2017-12-01 14:30,117.506
2017-12-01 14:45,117.631
2017-12-01 15:00,134.609
2017-12-01 15:15,112.993
2017-12-01 15:30,133.703
2017-12-01 15:45,113.081
2017-12-01 16:00,111.931
2017-12-01 16:15,107.659
2017-12-01 16:30,105.275
2017-12-01 16:45,108.606
2017-12-01 17:00,97.978
2017-12-01 17:15,97.78022929936306
2017-12-01 17:30,94.079
2017-12-01 17:45,86.456
2017-12-01 18:00,90.535
2017-12-01 18:15,86.848
2017-12-01 18:30,90.684
2017-12-01 18:45,84.837
2017-12-01 19:00,90.32
2017-12-01 19:15,81.604
2017-12-01 19:30,81.553
2017-12-01 19:45,80.525
2017-12-01 20:00,79.421
2017-12-01 20:15,82.785
2017-12-01 20:30,76.948
2017-12-01 20:45,78.892
2017-12-01 21:00,75.751
2017-12-01 21:15,75.39
2017-12-01 21:30,74.659
2017-12-01 21:45,76.931
2017-12-01 22:00,79.082
2017-12-01 22:15,76.092
2017-12-01 22:30,75.817
2017-12-01 22:45,73.323
2017-12-01 23:00,70.467
2017-12-01 23:15,75.64
2017-12-01 23:30,70.693
2017-12-01 23:45,76.432
2017-12-02 00:00,76.114
2017-12-02 00:15,73.442
2017-12-02 00:30,72.781
2017-12-02 00:45,71.668
2017-12-02 01:00,77.095
2017-12-02 01:15,72.243
2017-12-02 01:30,75.528
2017-12-02 01:45,71.404
2017-12-02 02:00,76.389
2017-12-02 02:15,75.956
2017-12-02 02:30,69.685
2017-12-02 02:45,69.504
2017-12-02 03:00,70.951
2017-12-02 03:15,69.925
2017-12-02 03:30,70.429
2017-12-02 03:45,74.209
2017-12-02 04:00,76.118
2017-12-02 04:15,75.328
2017-12-02 04:30,70.07
2017-12-02 04:45,74.235
2017-12-02 05:00,70.693
2017-12-02 05:15,76.501
2017-12-02 05:30,68.232
2017-12-02 05:45,70.553
2017-12-02 06:00,68.732
2017-12-02 06:15,69.792
2017-12-02 06:30,76.523
2017-12-02 06:45,69.775
2017-12-02 07:00,77.778
2017-12-02 07:15,67.007
2017-12-02 07:30,71.156
2017-12-02 07:45,65.753
2017-12-02 08:00,67.967
2017-12-02 08:15,64.117
2017-12-02 08:30,67.67
2017-12-02 08:45,70.601
2017-12-02 09:00,65.106
2017-12-02 09:15,72.707
2017-12-02 09:30,68.017
2017-12-02 09:45,73.079
2017-12-02 10:00,65.781
2017-12-02 10:15,74.351
2017-12-02 10:30,66.125
2017-12-02 10:45,68.828
2017-12-02 11:00,67.535
2017-12-02 11:15,66.004
2017-12-02 11:30,71.804
2017-12-02 11:45,67.193
2017-12-02 12:00,69.49
2017-12-02 12:15,68.417
2017-12-02 12:30,71.74
2017-12-02 12:45,66.792
2017-12-02 13:00,65.392
2017-12-02 13:15,68.014
2017-12-02 13:30,67.26010389610389
2017-12-02 13:45,66.164
2017-12-02 14:00,66.425
2017-12-02 14:15,75.528
